,index,YearsCodePro
9878,9878,7
9879,9879,5
9880,9880,15
9882,9882,6
9883,9883,4
9884,9884,2
9885,9885,1
9886,9886,10
9887,9887,2
9888,9888,30
9890,9890,3
9891,9891,7
9892,9892,15
9893,9893,5
9894,9894,15
9895,9895,30
9896,9896,6
9897,9897,27
9899,9899,2
9900,9900,2
9901,9901,7
9903,9903,12
9904,9904,8
9905,9905,6
9906,9906,1
9907,9907,8
9912,9912,26
9914,9914,5
9917,9917,7
9919,9919,4
9920,9920,3
9923,9923,6
9925,9925,4
9926,9926,32
9928,9928,10
9929,9929,3
9931,9931,6
9932,9932,7
9933,9933,2
9934,9934,7
9935,9935,21
9942,9942,18
9943,9943,32
9945,9945,2
9946,9946,27
9947,9947,31
9948,9948,6
9950,9950,2
9953,9953,7
9955,9955,2
9956,9956,16
9957,9957,5
9958,9958,2
9959,9959,2
9960,9960,25
9962,9962,11
9963,9963,6
9964,9964,19
9968,9968,4
9969,9969,28
9971,9971,8
9973,9973,2
9974,9974,7
9975,9975,2
9976,9976,17
9978,9978,2
9979,9979,4
9980,9980,4
9981,9981,2
9982,9982,12
9983,9983,14
9984,9984,3
9985,9985,9
9989,9989,16
9990,9990,6
9991,9991,3
9992,9992,10
9993,9993,5
9994,9994,20
9995,9995,7
9996,9996,11
9997,9997,2
9998,9998,3
9999,9999,32
10000,10000,16
10002,10002,3
10003,10003,2
10004,10004,7
10005,10005,3
10006,10006,6
10008,10008,6
10009,10009,7
10010,10010,5
10011,10011,2
10012,10012,6
10014,10014,1
10017,10017,18
10019,10019,2
10020,10020,2
10021,10021,12
10023,10023,10
10024,10024,3
10027,10027,17
10028,10028,2
10029,10029,19
10031,10031,3
10032,10032,7
10035,10035,7
10036,10036,12
10039,10039,7
10040,10040,3
10041,10041,5
10042,10042,23
10043,10043,3
10044,10044,3
10045,10045,6
10047,10047,9
10049,10049,13
10050,10050,28
10054,10054,6
10055,10055,3
10056,10056,5
10057,10057,3
10058,10058,1
10060,10060,7
10062,10062,20
10064,10064,6
10065,10065,8
10066,10066,5
10067,10067,3
10068,10068,16
10069,10069,35
10071,10071,3
10072,10072,25
10080,10080,8
10081,10081,5
10082,10082,10
10083,10083,10
10084,10084,8
10085,10085,1
10086,10086,5
10087,10087,25
10088,10088,3
10091,10091,27
10092,10092,4
10093,10093,8
10094,10094,4
10095,10095,11
10096,10096,6
10098,10098,20
10099,10099,4
10100,10100,12
10102,10102,23
10104,10104,12
10105,10105,3
10107,10107,9
10108,10108,3
10109,10109,17
10110,10110,10
10111,10111,5
10113,10113,30
10114,10114,2
10115,10115,20
10116,10116,1
10117,10117,8
10118,10118,15
10119,10119,10
10121,10121,10
10122,10122,6
10125,10125,6
10127,10127,5
10130,10130,5
10132,10132,3
10133,10133,30
10134,10134,5
10135,10135,3
10138,10138,5
10139,10139,1
10140,10140,2
10141,10141,27
10144,10144,4
10145,10145,6
10146,10146,5
10148,10148,10
10149,10149,8
10151,10151,7
10153,10153,20
10155,10155,2
10156,10156,15
10158,10158,25
10161,10161,10
10162,10162,1
10163,10163,4
10165,10165,6
10167,10167,20
10169,10169,3
10170,10170,5
10171,10171,5
10172,10172,4
10174,10174,4
10175,10175,15
10177,10177,2
10178,10178,8
10179,10179,16
10180,10180,4
10181,10181,4
10183,10183,1
10187,10187,25
10188,10188,2
10189,10189,3
10190,10190,30
10193,10193,5
10194,10194,5
10195,10195,1
10196,10196,5
10197,10197,5
10199,10199,3
10200,10200,18
10202,10202,22
10203,10203,1
10204,10204,16
10205,10205,2
10209,10209,6
10210,10210,26
10211,10211,17
10212,10212,2
10213,10213,6
10215,10215,1
10216,10216,5
10217,10217,20
10218,10218,5
10220,10220,4
10221,10221,3
10223,10223,14
10225,10225,12
10226,10226,5
10227,10227,5
10228,10228,6
10229,10229,17
10230,10230,13
10231,10231,15
10232,10232,10
10234,10234,3
10236,10236,4
10237,10237,4
10238,10238,7
10239,10239,17
10240,10240,12
10241,10241,4
10242,10242,20
10243,10243,4
10244,10244,6
10245,10245,4
10247,10247,8
10248,10248,10
10249,10249,1
10252,10252,15
10253,10253,14
10254,10254,2
10255,10255,3
10256,10256,1
10257,10257,1
10258,10258,10
10259,10259,1
10260,10260,8
10262,10262,1
10263,10263,10
10265,10265,1
10266,10266,31
10267,10267,8
10269,10269,1
10270,10270,3
10271,10271,2
10272,10272,9
10273,10273,16
10275,10275,4
10276,10276,1
10277,10277,3
10279,10279,10
10282,10282,8
10283,10283,5
10285,10285,15
10286,10286,6
10289,10289,6
10291,10291,4
10296,10296,4
10297,10297,2
10298,10298,3
10304,10304,3
10305,10305,3
10306,10306,8
10307,10307,1
10309,10309,8
10310,10310,5
10311,10311,13
10314,10314,5
10315,10315,5
10318,10318,3
10319,10319,4
10321,10321,10
10322,10322,8
10323,10323,3
10324,10324,4
10325,10325,24
10326,10326,1
10327,10327,5
10330,10330,8
10331,10331,9
10335,10335,14
10336,10336,11
10337,10337,3
10338,10338,12
10339,10339,6
10341,10341,8
10342,10342,7
10343,10343,12
10344,10344,20
10345,10345,12
10346,10346,1
10348,10348,13
10349,10349,20
10351,10351,10
10352,10352,7
10353,10353,2
10354,10354,13
10355,10355,6
10356,10356,10
10359,10359,2
10360,10360,22
10361,10361,10
10362,10362,10
10365,10365,21
10366,10366,3
10368,10368,19
10369,10369,9
10370,10370,44
10371,10371,10
10372,10372,21
10373,10373,40
10374,10374,5
10375,10375,3
10377,10377,10
10378,10378,7
10379,10379,20
10380,10380,33
10381,10381,22
10382,10382,28
10383,10383,1
10385,10385,10
10386,10386,3
10387,10387,7
10389,10389,4
10390,10390,15
10392,10392,2
10395,10395,4
10397,10397,5
10399,10399,15
10400,10400,15
10401,10401,10
10402,10402,3
10404,10404,9
10405,10405,25
10406,10406,2
10407,10407,1
10408,10408,4
10412,10412,5
10413,10413,9
10414,10414,10
10415,10415,11
10418,10418,8
10420,10420,1
10421,10421,30
10426,10426,26
10427,10427,1
10428,10428,8
10429,10429,9
10430,10430,3
10431,10431,1
10432,10432,15
10433,10433,22
10434,10434,6
10436,10436,21
10437,10437,13
10438,10438,11
10439,10439,2
10440,10440,11
10442,10442,2
10443,10443,3
10444,10444,8
10445,10445,27
10446,10446,8
10447,10447,14
10448,10448,2
10450,10450,12
10451,10451,1
10452,10452,5
10455,10455,8
10456,10456,4
10457,10457,12
10459,10459,12
10461,10461,8
10463,10463,21
10464,10464,6
10465,10465,3
10467,10467,15
10468,10468,11
10469,10469,7
10470,10470,12
10471,10471,20
10472,10472,1
10473,10473,2
10475,10475,4
10476,10476,5
10477,10477,50
10478,10478,3
10480,10480,1
10481,10481,1
10483,10483,15
10484,10484,15
10487,10487,9
10488,10488,1
10489,10489,2
10490,10490,21
10492,10492,7
10493,10493,9
10495,10495,9
10499,10499,2
10500,10500,3
10501,10501,15
10502,10502,1
10503,10503,3
10504,10504,5
10505,10505,4
10507,10507,4
10509,10509,2
10511,10511,3
10512,10512,30
10513,10513,1
10514,10514,3
10515,10515,10
10516,10516,12
10517,10517,5
10518,10518,4
10519,10519,2
10521,10521,1
10522,10522,7
10523,10523,11
10524,10524,12
10525,10525,5
10526,10526,10
10527,10527,28
10530,10530,4
10531,10531,29
10533,10533,1
10535,10535,10
10536,10536,1
10537,10537,4
10538,10538,16
10539,10539,1
10542,10542,9
10544,10544,24
10545,10545,20
10546,10546,22
10547,10547,4
10548,10548,21
10549,10549,21
10550,10550,6
10552,10552,4
10554,10554,1
10555,10555,1
10556,10556,21
10557,10557,10
10558,10558,13
10559,10559,7
10561,10561,3
10562,10562,4
10564,10564,13
10566,10566,13
10567,10567,16
10569,10569,15
10570,10570,20
10571,10571,3
10573,10573,10
10574,10574,5
10575,10575,5
10577,10577,1
10578,10578,2
10579,10579,3
10580,10580,5
10581,10581,17
10582,10582,9
10583,10583,11
10585,10585,4
10586,10586,12
10587,10587,13
10588,10588,7
10590,10590,5
10591,10591,10
10592,10592,5
10593,10593,3
10594,10594,5
10596,10596,6
10597,10597,20
10598,10598,1
10599,10599,1
10601,10601,16
10602,10602,19
10603,10603,9
10604,10604,3
10605,10605,4
10607,10607,13
10608,10608,6
10609,10609,4
10611,10611,17
10612,10612,8
10614,10614,15
10616,10616,22
10617,10617,10
10618,10618,12
10619,10619,10
10620,10620,8
10624,10624,5
10625,10625,7
10627,10627,10
10629,10629,9
10630,10630,15
10631,10631,7
10632,10632,7
10636,10636,5
10637,10637,30
10639,10639,3
10640,10640,5
10641,10641,5
10642,10642,7
10645,10645,7
10646,10646,4
10647,10647,4
10648,10648,23
10650,10650,10
10652,10652,2
10653,10653,12
10654,10654,6
10655,10655,13
10656,10656,5
10657,10657,10
10658,10658,8
10660,10660,3
10661,10661,2
10662,10662,3
10663,10663,2
10664,10664,1
10665,10665,4
10666,10666,17
10667,10667,3
10668,10668,4
10669,10669,1
10670,10670,2
10671,10671,10
10673,10673,2
10674,10674,4
10675,10675,3
10676,10676,18
10677,10677,4
10679,10679,5
10680,10680,8
10681,10681,12
10684,10684,10
10685,10685,1
10686,10686,7
10687,10687,8
10689,10689,4
10690,10690,1
10692,10692,10
10693,10693,1
10695,10695,4
10699,10699,3
10701,10701,1
10702,10702,8
10703,10703,1
10706,10706,1
10707,10707,8
10708,10708,1
10709,10709,15
10710,10710,1
10712,10712,1
10713,10713,5
10715,10715,5
10716,10716,5
10718,10718,13
10721,10721,8
10724,10724,5
10725,10725,6
10726,10726,10
10727,10727,25
10728,10728,20
10729,10729,12
10730,10730,5
10731,10731,8
10732,10732,35
10733,10733,8
10734,10734,15
10735,10735,6
10736,10736,5
10737,10737,3
10740,10740,3
10741,10741,11
10746,10746,6
10747,10747,4
10748,10748,14
10749,10749,7
10752,10752,2
10753,10753,24
10754,10754,8
10756,10756,6
10757,10757,2
10758,10758,9
10759,10759,3
10761,10761,10
10763,10763,12
10764,10764,3
10765,10765,9
10766,10766,5
10767,10767,4
10769,10769,3
10770,10770,2
10772,10772,1
10774,10774,1
10775,10775,7
10776,10776,27
10777,10777,28
10778,10778,7
10779,10779,6
10780,10780,20
10783,10783,10
10786,10786,7
10787,10787,11
10788,10788,20
10791,10791,4
10792,10792,2
10793,10793,13
10794,10794,4
10795,10795,7
10796,10796,3
10797,10797,7
10799,10799,4
10800,10800,3
10803,10803,20
10804,10804,2
10805,10805,15
10806,10806,2
10808,10808,20
10809,10809,1
10810,10810,5
10811,10811,6
10812,10812,1
10813,10813,12
10814,10814,4
10817,10817,5
10818,10818,20
10819,10819,7
10820,10820,3
10821,10821,4
10822,10822,3
10823,10823,4
10824,10824,1
10825,10825,1
10826,10826,2
10827,10827,18
10829,10829,3
10831,10831,8
10832,10832,20
10834,10834,30
10835,10835,7
10836,10836,2
10837,10837,2
10838,10838,8
10839,10839,3
10840,10840,10
10841,10841,7
10842,10842,20
10843,10843,21
10844,10844,8
10845,10845,24
10846,10846,15
10847,10847,2
10849,10849,8
10851,10851,15
10852,10852,10
10853,10853,3
10854,10854,5
10855,10855,5
10856,10856,6
10858,10858,10
10859,10859,6
10860,10860,22
10861,10861,8
10862,10862,3
10863,10863,12
10864,10864,4
10865,10865,9
10866,10866,20
10868,10868,4
10869,10869,3
10870,10870,10
10871,10871,1
10873,10873,10
10874,10874,6
10877,10877,6
10878,10878,4
10880,10880,13
10881,10881,22
10882,10882,8
10883,10883,12
10884,10884,3
10885,10885,18
10886,10886,1
10887,10887,1
10888,10888,4
10890,10890,7
10892,10892,4
10893,10893,9
10895,10895,4
10897,10897,6
10898,10898,1
10899,10899,10
10900,10900,7
10901,10901,5
10902,10902,12
10903,10903,3
10905,10905,4
10906,10906,2
10907,10907,14
10908,10908,5
10909,10909,10
10911,10911,4
10912,10912,3
10916,10916,11
10917,10917,13
10918,10918,4
10919,10919,39
10920,10920,6
10921,10921,2
10922,10922,14
10923,10923,4
10924,10924,7
10925,10925,8
10926,10926,3
10928,10928,6
10930,10930,16
10931,10931,15
10932,10932,6
10934,10934,4
10935,10935,3
10936,10936,5
10938,10938,3
10939,10939,5
10942,10942,1
10943,10943,5
10946,10946,8
10950,10950,5
10951,10951,6
10952,10952,23
10953,10953,10
10955,10955,3
10956,10956,5
10957,10957,12
10958,10958,4
10959,10959,9
10960,10960,10
10961,10961,8
10962,10962,20
10964,10964,4
10965,10965,4
10966,10966,10
10968,10968,2
10969,10969,21
10971,10971,3
10972,10972,1
10973,10973,12
10974,10974,2
10976,10976,2
10977,10977,9
10978,10978,7
10980,10980,6
10981,10981,2
10983,10983,1
10984,10984,6
10985,10985,5
10986,10986,2
10987,10987,3
10988,10988,25
10989,10989,16
10990,10990,5
10991,10991,9
10992,10992,3
10994,10994,2
10995,10995,10
10996,10996,1
10998,10998,5
10999,10999,18
11001,11001,8
11003,11003,14
11004,11004,44
11005,11005,6
11006,11006,4
11008,11008,7
11011,11011,45
11012,11012,15
11014,11014,38
11015,11015,3
11016,11016,2
11017,11017,6
11018,11018,20
11019,11019,20
11024,11024,10
11025,11025,3
11026,11026,7
11027,11027,4
11029,11029,1
11030,11030,3
11031,11031,8
11032,11032,11
11033,11033,20
11034,11034,30
11035,11035,5
11036,11036,1
11038,11038,4
11040,11040,3
11042,11042,1
11046,11046,10
11047,11047,5
11048,11048,2
11049,11049,5
11050,11050,3
11051,11051,4
11052,11052,12
11053,11053,5
11054,11054,13
11055,11055,4
11056,11056,10
11061,11061,15
11062,11062,1
11063,11063,7
11064,11064,2
11067,11067,16
11068,11068,3
11069,11069,10
11070,11070,13
11071,11071,1
11073,11073,9
11074,11074,7
11075,11075,3
11076,11076,10
11077,11077,8
11078,11078,7
11080,11080,2
11081,11081,10
11082,11082,7
11083,11083,4
11084,11084,9
11086,11086,2
11087,11087,21
11088,11088,2
11089,11089,17
11090,11090,2
11092,11092,5
11094,11094,5
11095,11095,8
11096,11096,5
11098,11098,6
11100,11100,3
11101,11101,4
11102,11102,5
11103,11103,2
11104,11104,8
11105,11105,12
11106,11106,10
11107,11107,3
11108,11108,10
11109,11109,2
11112,11112,4
11113,11113,5
11114,11114,11
11117,11117,7
11118,11118,3
11119,11119,7
11120,11120,8
11123,11123,7
11124,11124,5
11126,11126,2
11128,11128,40
11129,11129,10
11130,11130,5
11131,11131,6
11132,11132,5
11133,11133,2
11134,11134,7
11135,11135,13
11136,11136,15
11137,11137,4
11138,11138,3
11139,11139,4
11140,11140,15
11141,11141,22
11142,11142,2
11144,11144,3
11145,11145,13
11146,11146,3
11147,11147,16
11148,11148,15
11149,11149,1
11150,11150,1
11151,11151,21
11152,11152,3
11153,11153,8
11154,11154,3
11156,11156,3
11157,11157,18
11158,11158,9
11159,11159,3
11160,11160,7
11162,11162,4
11163,11163,1
11164,11164,4
11165,11165,3
11166,11166,2
11167,11167,4
11168,11168,3
11169,11169,2
11171,11171,3
11173,11173,6
11174,11174,7
11175,11175,1
11176,11176,4
11177,11177,3
11179,11179,10
11180,11180,2
11181,11181,6
11182,11182,7
11183,11183,5
11184,11184,5
11186,11186,5
11187,11187,3
11188,11188,2
11190,11190,5
11192,11192,9
11193,11193,12
11194,11194,23
11195,11195,5
11196,11196,8
11197,11197,6
11198,11198,10
11199,11199,2
11201,11201,5
11202,11202,18
11203,11203,11
11205,11205,4
11206,11206,7
11209,11209,3
11210,11210,6
11211,11211,10
11213,11213,28
11214,11214,25
11216,11216,6
11217,11217,3
11218,11218,7
11219,11219,34
11220,11220,11
11221,11221,1
11222,11222,13
11223,11223,2
11225,11225,2
11226,11226,5
11227,11227,1
11229,11229,2
11230,11230,10
11233,11233,8
11234,11234,17
11235,11235,3
11236,11236,3
11237,11237,5
11240,11240,2
11242,11242,6
11243,11243,12
11244,11244,22
11245,11245,2
11248,11248,11
11250,11250,4
11251,11251,5
11252,11252,13
11253,11253,8
11254,11254,3
11255,11255,5
11256,11256,2
11257,11257,10
11258,11258,25
11259,11259,1
11260,11260,7
11261,11261,2
11262,11262,27
11263,11263,23
11264,11264,8
11265,11265,7
11266,11266,16
11267,11267,3
11268,11268,5
11270,11270,6
11272,11272,40
11273,11273,5
11275,11275,18
11276,11276,12
11277,11277,20
11278,11278,1
11279,11279,2
11280,11280,1
11281,11281,14
11282,11282,8
11283,11283,1
11284,11284,5
11285,11285,16
11286,11286,4
11287,11287,2
11288,11288,8
11289,11289,5
11290,11290,11
11291,11291,3
11292,11292,5
11293,11293,7
11294,11294,1
11295,11295,14
11296,11296,5
11298,11298,3
11299,11299,10
11301,11301,5
11302,11302,25
11303,11303,10
11304,11304,2
11306,11306,2
11308,11308,3
11309,11309,8
11310,11310,2
11311,11311,14
11314,11314,1
11315,11315,15
11316,11316,4
11317,11317,10
11318,11318,4
11319,11319,12
11322,11322,6
11323,11323,17
11324,11324,2
11325,11325,1
11326,11326,16
11327,11327,12
11328,11328,5
11329,11329,22
11331,11331,4
11332,11332,8
11333,11333,10
11334,11334,5
11335,11335,2
11337,11337,4
11338,11338,8
11339,11339,1
11341,11341,13
11342,11342,1
11343,11343,10
11345,11345,3
11347,11347,3
11348,11348,7
11349,11349,4
11350,11350,3
11353,11353,10
11354,11354,4
11355,11355,6
11357,11357,12
11358,11358,4
11359,11359,21
11360,11360,2
11361,11361,19
11362,11362,6
11363,11363,2
11364,11364,10
11365,11365,1
11366,11366,4
11370,11370,3
11371,11371,19
11372,11372,1
11375,11375,13
11376,11376,12
11377,11377,5
11378,11378,24
11380,11380,3
11382,11382,6
11383,11383,1
11385,11385,2
11386,11386,2
11387,11387,14
11389,11389,1
11390,11390,12
11391,11391,6
11392,11392,14
11393,11393,1
11394,11394,6
11397,11397,25
11398,11398,13
11399,11399,5
11400,11400,3
11401,11401,4
11403,11403,6
11404,11404,7
11405,11405,4
11408,11408,1
11409,11409,5
11410,11410,12
11413,11413,16
11414,11414,5
11416,11416,13
11417,11417,4
11418,11418,9
11420,11420,3
11421,11421,21
11422,11422,6
11423,11423,2
11424,11424,5
11425,11425,11
11426,11426,3
11428,11428,7
11429,11429,1
11430,11430,5
11431,11431,35
11432,11432,9
11433,11433,2
11434,11434,21
11435,11435,12
11436,11436,3
11437,11437,1
11438,11438,4
11439,11439,6
11440,11440,16
11441,11441,2
11442,11442,1
11443,11443,4
11446,11446,10
11447,11447,16
11448,11448,3
11449,11449,6
11450,11450,7
11452,11452,5
11453,11453,15
11455,11455,1
11457,11457,6
11458,11458,29
11459,11459,3
11460,11460,9
11462,11462,8
11463,11463,17
11465,11465,3
11467,11467,5
11468,11468,3
11469,11469,8
11470,11470,4
11471,11471,5
11473,11473,3
11474,11474,8
11475,11475,8
11476,11476,10
11477,11477,4
11478,11478,2
11480,11480,7
11481,11481,4
11483,11483,3
11484,11484,25
11485,11485,6
11487,11487,2
11490,11490,6
11491,11491,7
11492,11492,10
11493,11493,3
11494,11494,26
11495,11495,22
11496,11496,2
11497,11497,11
11498,11498,13
11499,11499,2
11500,11500,15
11501,11501,17
11502,11502,2
11505,11505,2
11506,11506,13
11507,11507,4
11508,11508,1
11509,11509,7
11510,11510,12
11513,11513,26
11514,11514,12
11516,11516,5
11517,11517,10
11519,11519,4
11520,11520,15
11521,11521,6
11523,11523,2
11526,11526,4
11527,11527,10
11528,11528,8
11529,11529,1
11530,11530,8
11532,11532,9
11534,11534,9
11535,11535,5
11536,11536,9
11537,11537,5
11539,11539,16
11540,11540,4
11541,11541,21
11542,11542,4
11543,11543,2
11545,11545,2
11546,11546,10
11547,11547,23
11548,11548,5
11549,11549,30
11550,11550,1
11552,11552,16
11555,11555,5
11556,11556,5
11562,11562,7
11564,11564,1
11565,11565,4
11566,11566,21
11568,11568,8
11570,11570,2
11571,11571,26
11573,11573,12
11574,11574,3
11575,11575,20
11576,11576,6
11577,11577,4
11578,11578,6
11581,11581,5
11584,11584,7
11585,11585,4
11587,11587,2
11588,11588,8
11590,11590,2
11591,11591,35
11592,11592,1
11593,11593,4
11594,11594,17
11596,11596,10
11597,11597,1
11598,11598,3
11599,11599,1
11600,11600,21
11601,11601,1
11603,11603,20
11604,11604,3
11605,11605,2
11606,11606,7
11608,11608,1
11609,11609,22
11611,11611,3
11613,11613,11
11615,11615,2
11616,11616,2
11617,11617,5
11618,11618,10
11620,11620,3
11621,11621,3
11622,11622,3
11624,11624,13
11626,11626,5
11628,11628,4
11629,11629,7
11630,11630,2
11632,11632,1
11633,11633,7
11634,11634,10
11635,11635,5
11637,11637,3
11638,11638,9
11640,11640,3
11642,11642,9
11644,11644,18
11646,11646,1
11647,11647,1
11648,11648,20
11649,11649,10
11650,11650,4
11651,11651,5
11652,11652,3
11655,11655,5
11656,11656,1
11657,11657,6
11658,11658,1
11660,11660,2
11661,11661,6
11662,11662,20
11663,11663,44
11665,11665,8
11666,11666,6
11667,11667,4
11669,11669,4
11670,11670,1
11671,11671,18
11672,11672,28
11673,11673,4
11674,11674,2
11675,11675,10
11676,11676,3
11679,11679,5
11680,11680,22
11682,11682,7
11683,11683,5
11684,11684,4
11685,11685,3
11686,11686,20
11687,11687,7
11688,11688,1
11690,11690,3
11691,11691,3
11692,11692,4
11694,11694,1
11698,11698,16
11699,11699,8
11700,11700,6
11701,11701,10
11702,11702,4
11703,11703,4
11704,11704,1
11705,11705,6
11707,11707,14
11709,11709,1
11710,11710,12
11711,11711,1
11712,11712,12
11713,11713,11
11715,11715,20
11716,11716,3
11717,11717,5
11718,11718,5
11720,11720,15
11722,11722,4
11723,11723,8
11725,11725,1
11726,11726,5
11727,11727,20
11728,11728,3
11730,11730,12
11733,11733,2
11735,11735,2
11736,11736,2
11738,11738,3
11739,11739,1
11741,11741,15
11744,11744,12
11745,11745,4
11746,11746,5
11747,11747,20
11748,11748,11
11749,11749,3
11750,11750,7
11752,11752,13
11754,11754,6
11755,11755,7
11756,11756,7
11757,11757,2
11758,11758,7
11759,11759,7
11760,11760,2
11761,11761,3
11763,11763,15
11764,11764,1
11766,11766,3
11768,11768,5
11769,11769,1
11770,11770,3
11774,11774,12
11775,11775,15
11776,11776,12
11777,11777,19
11779,11779,12
11780,11780,5
11781,11781,9
11782,11782,12
11785,11785,1
11786,11786,3
11787,11787,22
11788,11788,2
11789,11789,16
11790,11790,10
11791,11791,3
11792,11792,6
11793,11793,3
11794,11794,8
11795,11795,8
11796,11796,3
11797,11797,3
11798,11798,8
11800,11800,7
11801,11801,4
11802,11802,18
11803,11803,8
11804,11804,20
11805,11805,20
11806,11806,4
11808,11808,15
11810,11810,3
11811,11811,26
11812,11812,6
11814,11814,1
11815,11815,5
11819,11819,17
11820,11820,5
11822,11822,1
11823,11823,5
11825,11825,4
11827,11827,7
11828,11828,2
11830,11830,14
11831,11831,3
11832,11832,6
11833,11833,1
11834,11834,2
11836,11836,15
11837,11837,7
11838,11838,3
11841,11841,1
11842,11842,6
11844,11844,25
11845,11845,8
11846,11846,11
11847,11847,8
11851,11851,19
11852,11852,10
11853,11853,7
11854,11854,15
11856,11856,5
11857,11857,5
11858,11858,23
11860,11860,3
11861,11861,3
11862,11862,1
11863,11863,35
11864,11864,11
11865,11865,5
11866,11866,3
11867,11867,4
11869,11869,3
11870,11870,15
11872,11872,7
11875,11875,12
11877,11877,2
11879,11879,13
11881,11881,4
11883,11883,3
11884,11884,6
11887,11887,1
11889,11889,1
11890,11890,12
11893,11893,5
11894,11894,4
11896,11896,6
11897,11897,10
11898,11898,25
11899,11899,6
11900,11900,10
11901,11901,13
11902,11902,5
11903,11903,6
11904,11904,18
11905,11905,5
11906,11906,5
11907,11907,2
11908,11908,4
11909,11909,4
11910,11910,7
11911,11911,6
11912,11912,12
11913,11913,10
11915,11915,8
11916,11916,10
11917,11917,2
11918,11918,2
11919,11919,4
11921,11921,17
11923,11923,4
11924,11924,4
11925,11925,9
11926,11926,5
11928,11928,18
11929,11929,9
11931,11931,5
11936,11936,14
11937,11937,15
11938,11938,5
11939,11939,1
11940,11940,5
11942,11942,2
11943,11943,2
11945,11945,15
11946,11946,10
11950,11950,5
11951,11951,3
11952,11952,1
11953,11953,15
11955,11955,1
11956,11956,7
11958,11958,2
11959,11959,2
11960,11960,4
11961,11961,23
11962,11962,2
11963,11963,8
11964,11964,6
11965,11965,6
11966,11966,10
11967,11967,13
11968,11968,4
11969,11969,9
11971,11971,2
11972,11972,10
11974,11974,5
11975,11975,2
11977,11977,3
11978,11978,7
11979,11979,3
11980,11980,11
11982,11982,2
11983,11983,5
11985,11985,9
11986,11986,1
11988,11988,3
11991,11991,14
11993,11993,1
11994,11994,1
11995,11995,2
11996,11996,14
11997,11997,7
11999,11999,32
12001,12001,3
12002,12002,4
12003,12003,6
12004,12004,3
12005,12005,8
12006,12006,12
12007,12007,18
12008,12008,3
12009,12009,8
12010,12010,1
12011,12011,3
12012,12012,11
12013,12013,13
12014,12014,4
12016,12016,7
12017,12017,15
12018,12018,10
12019,12019,2
12023,12023,10
12024,12024,4
12025,12025,24
12026,12026,8
12029,12029,6
12030,12030,7
12031,12031,10
12032,12032,5
12033,12033,3
12034,12034,3
12036,12036,1
12037,12037,7
12038,12038,3
12039,12039,6
12040,12040,8
12041,12041,6
12042,12042,2
12044,12044,4
12045,12045,13
12046,12046,4
12048,12048,5
12053,12053,40
12054,12054,3
12055,12055,5
12058,12058,1
12059,12059,1
12060,12060,2
12061,12061,3
12063,12063,1
12064,12064,3
12065,12065,1
12067,12067,3
12068,12068,6
12069,12069,10
12070,12070,13
12072,12072,3
12073,12073,6
12075,12075,6
12076,12076,3
12077,12077,7
12078,12078,22
12080,12080,8
12083,12083,5
12084,12084,20
12085,12085,3
12086,12086,16
12088,12088,8
12089,12089,11
12090,12090,4
12091,12091,6
12092,12092,4
12094,12094,5
12095,12095,3
12097,12097,7
12098,12098,11
12100,12100,6
12102,12102,10
12103,12103,5
12104,12104,3
12105,12105,1
12106,12106,35
12108,12108,4
12109,12109,6
12112,12112,5
12113,12113,1
12114,12114,8
12115,12115,6
12117,12117,2
12118,12118,3
12121,12121,3
12122,12122,6
12123,12123,3
12124,12124,10
12125,12125,5
12128,12128,6
12129,12129,2
12132,12132,4
12133,12133,4
12134,12134,19
12135,12135,7
12136,12136,5
12137,12137,1
12139,12139,2
12140,12140,25
12143,12143,2
12144,12144,12
12146,12146,3
12147,12147,10
12148,12148,2
12149,12149,3
12151,12151,6
12152,12152,19
12153,12153,13
12154,12154,8
12155,12155,10
12156,12156,17
12158,12158,2
12159,12159,6
12160,12160,12
12161,12161,13
12162,12162,15
12163,12163,20
12164,12164,7
12166,12166,9
12167,12167,4
12168,12168,4
12169,12169,2
12171,12171,5
12172,12172,2
12173,12173,24
12174,12174,1
12175,12175,3
12176,12176,7
12177,12177,5
12178,12178,6
12179,12179,10
12180,12180,1
12181,12181,8
12182,12182,5
12183,12183,4
12184,12184,10
12185,12185,4
12186,12186,1
12187,12187,2
12189,12189,1
12190,12190,17
12191,12191,2
12192,12192,2
12193,12193,5
12194,12194,20
12196,12196,2
12198,12198,20
12199,12199,12
12200,12200,21
12201,12201,7
12203,12203,6
12206,12206,7
12207,12207,2
12208,12208,10
12209,12209,2
12210,12210,2
12211,12211,16
12212,12212,8
12213,12213,9
12215,12215,10
12216,12216,5
12218,12218,6
12221,12221,4
12222,12222,4
12223,12223,1
12224,12224,8
12227,12227,2
12228,12228,3
12229,12229,2
12230,12230,4
12233,12233,6
12234,12234,6
12235,12235,5
12236,12236,7
12238,12238,13
12240,12240,5
12241,12241,15
12243,12243,9
12244,12244,1
12247,12247,40
12248,12248,2
12249,12249,4
12250,12250,5
12251,12251,6
12252,12252,1
12254,12254,5
12255,12255,10
12257,12257,2
12258,12258,25
12260,12260,12
12263,12263,13
12264,12264,1
12265,12265,19
12266,12266,31
12267,12267,6
12269,12269,8
12270,12270,11
12271,12271,2
12272,12272,2
12273,12273,13
12274,12274,12
12276,12276,1
12277,12277,18
12278,12278,2
12279,12279,10
